"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"173","Type I diabetes mellitus","1/69",0.673180945761871,0.863850693405406,0,0,0.901240808823529,0.356658048014658,"HSPD1"
"174","Breast cancer","2/147",0.68616280388322,0.868797451034611,0,0,0.844622203005081,0.318118807198377,"CDKN1A;FGF1"
"175","Gastric cancer","2/150",0.696795136714924,0.868797451034611,0,0,0.827374396339914,0.298900445685264,"CDKN1A;FGF1"
"176","MAPK signaling pathway","4/294",0.697404052208592,0.868797451034611,0,0,0.843641901446753,0.30404038689726,"INSR;PRKACA;FGF1;VEGFA"
"177","Non-alcoholic fatty liver disease (NAFLD)","2/151",0.700272571131954,0.868797451034611,0,0,0.821779470240475,0.292788218247095,"INSR;PRKAG2"
"178","Glioma","1/75",0.703521480732332,0.868797451034611,0,0,0.827913851351351,0.291141592605531,"CDKN1A"
"179","Chronic myeloid leukemia","1/76",0.708297849750433,0.868797451034611,0,0,0.816833333333333,0.281718123743792,"CDKN1A"
"180","Pertussis","1/76",0.708297849750433,0.868797451034611,0,0,0.816833333333333,0.281718123743792,"C3"
"181","Synaptic vesicle cycle","1/77",0.712997505264589,0.868797451034611,0,0,0.806044407894737,0.27266657233158,"ATP6V1B2"
"182","Epstein-Barr virus infection","3/229",0.714349581303776,0.868797451034611,0,0,0.812030389046585,0.273153077709395,"CDKN1A;CCND2;CALR"
"183","Cardiac muscle contraction","1/78",0.717621675471803,0.868797451034611,0,0,0.795535714285714,0.263968903570892,"MYH7"
"184","Wnt signaling pathway","2/160",0.730101149586982,0.868797451034611,0,0,0.774612118566724,0.243671433141036,"CCND2;PRKACA"
"185","Human immunodeficiency virus 1 infection","3/238",0.738389281632918,0.868797451034611,0,0,0.780570052187876,0.236734494791196,"CCNB1;GNG2;CALR"
"186","Hepatitis B","2/163",0.739470372274362,0.868797451034611,0,0,0.76006152767772,0.229402577599458,"CDKN1A;PCNA"
"187","Protein processing in endoplasmic reticulum","2/163",0.739470372274362,0.868797451034611,0,0,0.76006152767772,0.229402577599458,"CALR;SEC24D"
"188","ECM-receptor interaction","1/83",0.739651883988925,0.868797451034611,0,0,0.746836890243902,0.2252278060645,"LAMC1"
"189","RNA degradation","1/83",0.739651883988925,0.868797451034611,0,0,0.746836890243902,0.2252278060645,"HSPD1"
"190","ErbB signaling pathway","1/84",0.743847860953143,0.86912750069262,0,0,0.737801204819277,0.218329212511028,"CDKN1A"
"191","Influenza A","2/168",0.754469520392649,0.869475600871366,0,0,0.736979265022472,0.207636831949363,"IVNS1ABP;FDPS"
"192","Viral myocarditis","1/87",0.756035580917191,0.869475600871366,0,0,0.711954941860465,0.199110188246377,"MYH7"
"193","Colorectal cancer","1/88",0.759968293042268,0.869475600871366,0,0,0.703735632183908,0.193160347343183,"CDKN1A"
"194","Complement and coagulation cascades","1/88",0.759968293042268,0.869475600871366,0,0,0.703735632183908,0.193160347343183,"C3"
"195","Steroid hormone biosynthesis","1/89",0.763837803618577,0.869475600871366,0,0,0.695703125,0.187422290583846,"HSD17B7"
"196","Antigen processing and presentation","1/90",0.767645125093639,0.869475600871366,0,0,0.687851123595506,0.181886910726555,"CALR"
"197","Necroptosis","2/176",0.776920936129737,0.872219373490072,0,0,0.702806903758152,0.177400191719527,"GLUL;SQSTM1"
"198","Tuberculosis","2/178",0.782246446809262,0.872219373490072,0,0,0.69474921630094,0.170620291081127,"C3;HSPD1"
"199","Hematopoietic cell lineage","1/94",0.782272211624881,0.872219373490072,0,0,0.658131720430107,0.161605890795552,"GYPA"
"200","Staphylococcus aureus infection","1/95",0.785783219360425,0.872219373490072,0,0,0.651097074468085,0.156962788995971,"C3"
"201","Prostate cancer","1/97",0.792636806588805,0.875449607277188,0,0,0.637467447916667,0.148141163184128,"CDKN1A"
"202","AGE-RAGE signaling pathway in diabetic complications","1/101",0.805695095781137,0.884214929252933,0,0,0.61184375,0.132188781689551,"VEGFA"
"203","Calcium signaling pathway","2/189",0.809586935118904,0.884214929252933,0,0,0.653512815784621,0.138042242725833,"PRKACA;ADRA1B"
"204","Neuroactive ligand-receptor interaction","4/348",0.812521826881073,0.884214929252933,0,0,0.709228963392268,0.14724479907395,"C3;LPAR3;ADRA1B;APLN"
"205","NOD-like receptor signaling pathway","2/205",0.84390548595317,0.913887892105384,0,0,0.601510261438918,0.102085178153738,"GABARAPL1;TXNIP"
"206","Regulation of actin cytoskeleton","2/217",0.865860607651071,0.929136057229461,0,0,0.567587664941314,0.081750414512925,"FGF1;BAIAP2"
"207","Lysosome","1/124",0.866356593903146,0.929136057229461,0,0,0.496849593495935,0.0712773887908389,"NPC1"
"208","Osteoclast differentiation","1/128",0.874783632024206,0.933663299564297,0,0,0.481102362204724,0.0643612490105276,"SQSTM1"
"209","Oxidative phosphorylation","1/134",0.886441211607587,0.941578703238681,0,0,0.459257518796993,0.0553591175481397,"ATP6V1B2"
"210","Signaling pathways regulating pluripotency of stem cells","1/137",0.891857661159038,0.94169203935586,0,0,0.449057904411765,0.0513941076767563,"BMPR1A"
"211","Systemic lupus erythematosus","1/143",0.901930007171009,0.94169203935586,0,0,0.429951584507042,0.044378897131997,"C3"
"212","Measles","1/144",0.903515335057649,0.94169203935586,0,0,0.426923076923077,0.0433165529703877,"CCND2"
"213","Parkinson disease","1/144",0.903515335057649,0.94169203935586,0,0,0.426923076923077,0.0433165529703877,"PRKACA"
"214","Endocytosis","2/269",0.931899958857644,0.962883218268904,0,0,0.455825202822491,0.0321492651029998,"LDLR;RAB11B"
"215","RNA transport","1/167",0.933691478800284,0.962883218268904,0,0,0.367338102409639,0.0252027798764521,"RNPS1"
"216","Ribosome","1/170",0.936859347504879,0.962883218268904,0,0,0.360761834319527,0.0235296507106067,"RPL34-PS1"
"217","Alzheimer disease","1/175",0.941807347547053,0.963015804805459,0,0,0.350305316091954,0.0210023939467527,"LPL"
"218","Axon guidance","1/180",0.946368696828601,0.963015804805459,0,0,0.340432960893855,0.0187657007121922,"NTN1"
"219","Cytokine-cytokine receptor interaction","2/292",0.950002077713493,0.963015804805459,0,0,0.419176305264296,0.0215000168606146,"TNFRSF12A;BMPR1A"
"220","Huntington disease","1/192",0.955913807321423,0.964603932842527,0,0,0.318848167539267,0.0143760762240332,"PPARGC1A"
"221","Herpes simplex virus 1 infection","3/433",0.971345749301992,0.975740978936842,0,0,0.422312417727073,0.0122778038581618,"C3;CALR;SRSF5"
"222","Olfactory transduction","1/1133",0.999995943572202,0.999995943572202,0,0,0.0512008613074205,2.07693018334795e-07,"PRKACA"
